N,Triton,Torch (native)
256.0,178.1,178.5
384.0,201.4,201.4
512.0,210.1,210.1
640.0,213.3,217.8
768.0,213.7,213.7
896.0,214.0,214.0
1024.0,212.8,214.2
1152.0,215.6,216.8
1280.0,215.6,216.7
1408.0,213.5,215.6
1536.0,215.6,218.5
1664.0,216.5,218.2
1792.0,216.4,218.9
1920.0,216.4,218.6
2048.0,217.7,219.2
2176.0,220.4,220.4
2304.0,220.7,220.7
2432.0,220.5,220.5
2560.0,219.6,221.4
2688.0,220.6,222.8
2816.0,219.3,221.4
2944.0,218.8,222.2
3072.0,218.0,221.9
3200.0,219.3,222.1
3328.0,220.0,222.3
3456.0,219.4,221.2
3584.0,219.3,222.3
3712.0,220.5,223.3
3840.0,221.8,223.4
3968.0,221.2,221.6
4096.0,221.0,223.1
4224.0,221.6,223.2
4352.0,221.4,224.3
4480.0,221.2,223.3
4608.0,221.1,225.5
4736.0,221.2,223.4
4864.0,220.8,224.0
4992.0,221.6,223.1
5120.0,222.2,223.2
5248.0,222.3,223.6
5376.0,223.1,225.5
5504.0,221.5,223.8
5632.0,221.1,222.8
5760.0,222.6,224.2
5888.0,222.7,224.3
6016.0,222.0,223.3
6144.0,221.9,224.7
6272.0,222.5,223.6
6400.0,223.2,223.7
6528.0,222.7,223.8
6656.0,222.9,224.6
6784.0,223.6,223.0
6912.0,223.4,223.4
7040.0,224.6,222.9
7168.0,224.7,223.8
7296.0,224.9,223.4
7424.0,225.4,223.9
7552.0,225.0,224.2
7680.0,226.0,223.6
7808.0,225.0,223.5
7936.0,225.5,223.7
8064.0,224.8,225.2
8192.0,224.9,223.4
8320.0,222.8,224.1
8448.0,222.6,223.4
8576.0,222.8,224.3
8704.0,222.3,224.3
8832.0,222.2,224.4
8960.0,222.6,225.5
9088.0,223.2,224.7
9216.0,222.0,225.1
9344.0,223.5,224.0
9472.0,223.4,223.4
9600.0,222.9,223.9
9728.0,223.8,224.7
9856.0,224.5,224.0
9984.0,223.5,224.4
10112.0,223.9,220.9
10240.0,223.6,224.4
10368.0,224.8,223.4
10496.0,223.2,225.1
10624.0,223.9,222.9
10752.0,222.3,225.2
10880.0,224.8,223.9
11008.0,225.6,225.1
11136.0,224.8,223.7
11264.0,225.4,222.9
11392.0,224.3,224.2
11520.0,224.4,224.4
11648.0,224.8,225.0
11776.0,225.1,224.9
11904.0,225.1,225.0
12032.0,224.3,225.0
12160.0,225.7,225.1
12288.0,225.1,224.3
12416.0,225.7,224.1
12544.0,227.6,224.8
12672.0,225.8,225.8
